Seccion,Producto,Descripcion,Precio,Etiqueta
Espresso & clásicos,Espresso,,$2.500,
Espresso & clásicos,Doppio,,$3.350,
Espresso & clásicos,Lungo,,$2.500,
Espresso & clásicos,Espressino,,$2.650,
Espresso & clásicos,Affogato,,$5.450,
Espresso & clásicos,Café con hielo,,$3.050,
Espresso & clásicos,Bonbón,,$3.150,
Espresso & clásicos,Espresso Romano,,$2.600,
Espresso & clásicos,Macchiato,,$2.500,
Espresso & clásicos,Americano,,$3.050,
Con leche,Café con leche,,$3.750,
Con leche,Cortado,,$3.550,
Con leche,Cortado doble,,$4.250,
Con leche,Caffé Latte,,$4.350,
Con leche,Cappuccino,,$4.450,
Con leche,Flat White,,$4.950,
Con leche,Dirty Chai Latte,,$4.500,
Con leche,Vienna,,$4.050,
Con leche,Mocha,,$4.750,
Con leche,Borgia,,$4.850,
Con leche,Chocolate caliente,,$4.250,
Extras & grano,Sabores,Vainilla o amaretto.,$800,
Extras & grano,Leche vegetal,,$1.150,
Extras & grano,Crema extra,,$1.250,
Extras & grano,Café especial 250 gr,Grano molido.,$14.000,
Extras & grano,Café especial 500 gr,Grano molido.,$22.500,
Especiales fríos,Frappe,,$4.950,
Especiales fríos,Ice Latte,,$4.650,
Especiales fríos,Chai Latte,,$6.550,
Especiales fríos,Matcha Latte,,$6.650,
Especiales fríos,Café helado,,$6.890,
Especiales fríos,Matcha Espresso,,$6.950,
Especiales fríos,Milkshake,Sabores.,$6.650,
Filtrados,Sifón,"Extracción mixta, cuerpo sedoso y balanceado.",$7.100,
Filtrados,V60,"Sabores suaves, menor acidez y cuerpo ligero.",$6.800,
Filtrados,Chemex,"Taza limpia, clara y brillante por su filtro de papel.",$6.800,
Especial Cold Brew,Cold Brew,Clásico de la casa.,$5.850,
Especial Cold Brew,Cold Brew Lima,"Limón, miel y soda.",$6.950,
Especial Cold Brew,Cold Brew Tónic,Tónica y limón.,$6.950,
Especial Cold Brew,Cold Brew Maracuyá,"Pulpa de maracuyá, soda y miel.",$6.950,
Especial Cold Brew,Cold Brew Naranja,"Naranja, soda y miel.",$6.450,
Especial Cold Brew,Cold Brew Durazno,Durazno y soda.,$6.950,
Tés & infusiones,Té negro Chai,"Pimienta, jengibre, canela, clavos, cardamomo y anís estrella.",$3.750,
Tés & infusiones,Infusión azul relajante,"Lemon grass, flor de guisante mariposa, rosa mosqueta, caléndula, manzanilla.",$3.750,
Tés & infusiones,Té Pu-Erh,"Cascarilla de rosa mosqueta, frutillas y rosas.",$3.750,
Tés & infusiones,Té verde,"Frutilla, menta y manzana.",$3.750,
Tés & infusiones,Infusión púrpura detox,"Hibisco, flor de guisante mariposa, lemon grass, cedrón, cola de caballo.",$3.750,
Desayunos & promos,Paila de huevos con jamón y queso,"+ americano, cortado o té.",$7.150,
Desayunos & promos,Huevo revuelto con jamón o queso,+ tostadas.,$5.400,
Desayunos & promos,Muffin + cortado,"Arándano, coco o chocolate.",$4.800,
Desayunos & promos,2 media luna + cortado,,$4.550,
Omelette & arepas,Omelette Base,"Tostada, queso y jamón. Extras desde $1.100 · proteína +$2.200.",$6.200,
Omelette & arepas,Arepa con Perico,La favorita de la casa.,$7.750,
Omelette & arepas,Arepa con Queso,,$3.750,
Omelette & arepas,Chocolate con queso,Tradición cafetera.,$5.150,
Agua de panela,Agua panela con limón,Fría o caliente.,$3.450,
Agua de panela,Agua panela con leche,,$3.950,
Sandwiches,Sandwich Base,"Lechuga, tomate, jamón y queso.",$6.850,
Sandwiches,Miga Jamón Queso,,$5.650,
Sandwiches,Miga Pollo Palta,,$5.800,
Sandwiches,Croissant Jamón Queso,,$5.950,
Sandwiches,Croissant Pollo Palta,,$6.150,
Tortas & postres,Bizcocho de Chocolate,Relleno con manjar y capas de chocolate.,$5.700,
Tortas & postres,Hojarasca Frambuesa Manjar,Hojarasca especial con manjar y frambuesa.,$5.700,
Tortas & postres,Zanahoria Canela Nuez,Con queso philadelphia y nueces.,$5.700,
Tortas & postres,Mil hoja Plátano Manjar,"Crema chantillí, puré de plátano y manjar.",$5.700,
Tortas & postres,Pie de Limón,"Masa quebrada, crema de limón y merengue.",$5.700,
Tortas & postres,Red Velvet,Cacao con betarraga y glaseado de queso crema.,$5.700,
Tortas & postres,Tres Leches,"Bizcocho de vainilla, crema pastelera y merengue.",$5.700,
Dulces veganos,Brownie,Corteza crocante con nueces.,$4.450,vegano
Dulces veganos,Carrot Cake,Frosting cremoso de castañas de cajú.,$4.450,vegano
Dulces veganos,Banana Blondie,Plátano con chips de chocolate 56%.,$4.550,vegano
Con helado & muffins,Volcán de chocolate con helado,"Vainilla, frutilla y chocolate.",$7.150,
Con helado & muffins,Brownie con helado,"Vainilla, frutilla y chocolate.",$6.350,
Con helado & muffins,Copa de helado,"Vainilla, fresa y chocolate.",$5.750,
Con helado & muffins,Muffin,"Chocolate, arándano o coco.",$3.850,
Con helado & muffins,Media lunas argentinas con salsa,"Chocolate, manjar, frambuesa o caramelo.",$1.650,
Jugos naturales,Frutilla,,$4.390 / leche $4.690,
Jugos naturales,Frambuesa,,$4.390 / leche $4.690,
Jugos naturales,Maracuyá,,$4.390 / leche $4.690,
